segment_id,risk_score,risk_level
1490526730,0.23165922,low
1490526731,0.6963035,medium
1490850316,0.1137316,low
1490850330,0.11782097,low
1490850331,0.16769172,low
1490850332,0.2278583,low
1490850336,0.18727458,low
1490850354,0.21324591,low
1490850355,0.11898681,low
1490850356,0.065007396,low
1490850357,0.20396109,low
1490850360,0.12161125,low
1490850368,0.25118604,low
1490850369,0.19289587,low
1490850370,0.15353549,low
1490850371,0.17715259,low
1490903581,0.102903426,low
1490903582,0.11343963,low
1490903583,0.22213922,low
1490903584,0.09476978,low
1490903585,0.25670338,low
1490903586,0.19027418,low
1490903587,0.23542322,low
1491207345,0.015854316,low
1491207346,0.040486496,low
1491207347,0.009000864,low
1491224598,0.13357906,low
1491224599,0.11430322,low
1491224602,0.0682796,low
1491224618,0.15177602,low
1491224620,0.12159002,low
1491224622,0.114510894,low
1491224623,0.15423037,low
1491224624,0.11227789,low
1491224625,0.12414243,low
1491224641,0.10670555,low
1491224642,0.16620222,low
1491224643,0.1455032,low
1491224644,0.07633231,low
1491224645,0.11330496,low
1491224646,0.12897809,low
1491224647,0.15293868,low
1491224650,0.1238557,low
1491224651,0.114455566,low
1491252139,0.06168325,low
1491252140,0.18318424,low
1491252141,0.027851962,low
1491252142,0.1411718,low
1491268781,0.6603397,medium
1491268782,0.1816405,low
1491268786,0.19921169,low
1491268787,0.020183269,low
1491268788,0.48755908,medium
1491268789,0.042560924,low
1491630963,0.027993822,low
1491630964,0.075238764,low
1491630965,0.087646484,low
1491630966,0.020488111,low
1491630967,0.039442014,low
1491630968,0.05532712,low
1491630969,0.07105096,low
1491630970,0.104740575,low
1491630972,0.06803032,low
1491630973,0.12400663,low
1491630974,0.12471212,low
1491630975,0.11274564,low
1491738616,0.1051294,low
1491741514,0.0049015805,low
1491741515,0.01607966,low
1491741516,0.009598911,low
1491742777,0.64477825,medium
1491742778,0.5378776,medium
1491742779,0.43881762,medium
1491743084,0.5743542,medium
1491795581,0.021256885,low
1491803585,0.16689867,low
1491807746,0.8830226,high
1491808397,0.0023722856,low
1491808398,0.0027755944,low
1491809508,0.00088250916,low
1491809509,0.0011807312,low
1491809957,0.043757383,low
1491854041,0.47492373,medium
1491854042,0.5658033,medium
1491973700,0.89773524,high
1492578371,0.29334825,low
1492578374,0.165129,low
1492578377,0.092533626,low
1492578380,0.2374803,low
1492578381,0.24780972,low
1492578382,0.19559446,low
1492578383,0.38945925,medium
1492578386,0.0718989,low
1492578389,0.06841475,low
1492578390,0.0043547116,low
1492999839,0.0031270476,low
1493002093,0.0044054366,low
1493002223,0.0030596983,low
1493250548,0.1308292,low
1493250549,0.059332304,low
1493250584,0.07428051,low
1493250585,0.07927944,low
1493250590,0.095078774,low
1493406124,0.09670706,low
1493406125,0.08146763,low
1493477212,0.020332681,low
1493477213,0.061402943,low
1493477214,0.0723557,low
1493477215,0.057718307,low
1493477217,0.07885054,low
1493477218,0.019143393,low
1493477220,0.03699052,low
1493477221,0.043762542,low
1493513179,0.026310312,low
1493513180,0.040591262,low
1493513194,0.08613194,low
1493513195,0.07792883,low
1493513199,0.036926266,low
1493513200,0.024683014,low
1493513203,0.05787645,low
1493513204,0.036686953,low
1493513205,0.06256338,low
1493513206,0.07841217,low
1493513207,0.06126052,low
1493513208,0.07361495,low
1493513230,0.10571202,low
1493513231,0.08177208,low
1493513232,0.108724564,low
1493513233,0.24357398,low
1493513234,0.10724677,low
1493513235,0.11381624,low
1493513236,0.050941166,low
1493513237,0.05091129,low
1493513238,0.04497199,low
1493513239,0.040370185,low
1493513240,0.10667046,low
1493513241,0.0759888,low
1493513246,0.10394512,low
1493513250,0.1423899,low
1493513251,0.074218184,low
1493628810,0.5196876,medium
1494148573,0.87741446,high
1494148574,0.9472452,high
1494192000,0.005357718,low
1494192001,0.0034495543,low
1494192002,0.002892403,low
1494192003,0.0031543782,low
1494977432,0.13097882,low
1494977433,0.591827,medium
1494977434,0.5763359,medium
1494977435,0.5790993,medium
1494977436,0.5769798,medium
1494977437,0.057985537,low
1494977438,0.33835536,medium
1494977439,0.20462276,low
1494977440,0.08285122,low
1495103943,0.09888441,low
1495103944,0.08314837,low
1495103945,0.4073755,medium
1495103946,0.0054422473,low
1495103947,0.011864262,low
1495103948,0.2252826,low
1495159463,0.0017957815,low
1495162069,0.0021738042,low
1495162081,0.003472043,low
1495323754,0.009026552,low
1495323755,0.016013954,low
1495323756,0.035305932,low
1495327237,0.011417569,low
1495327238,0.011721412,low
1495327239,0.008753366,low
1495328659,0.0029213293,low
1495328660,0.0031795972,low
1495328661,0.0034076856,low
1495328662,0.0041960827,low
1495328663,0.0036290868,low
1495384509,0.20753008,low
1495409979,0.6357734,medium
1495414973,0.5639371,medium
1495417133,0.037824843,low
1495417134,0.09409491,low
1495417364,0.040342584,low
1495417365,0.03532943,low
1495428558,0.033038713,low
1495428559,0.02643719,low
1495428560,0.014063337,low
1495428561,0.019631336,low
1495428562,0.0017121508,low
1495428563,0.0014281069,low
1495432383,0.000436803,low
1495432389,0.011423545,low
1495432390,0.005985979,low
1495432391,0.045362964,low
1495467617,0.68650794,medium
1495467618,0.67223054,medium
1495467619,0.6089593,medium
1495493622,0.004997424,low
1495497365,0.0021711932,low
1495571770,0.002148027,low
1495572811,0.039832886,low
1495638709,0.13623488,low
1495638710,0.051928274,low
1495639781,0.063427344,low
